Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Phosphoprotein	284	63.82022471910113	3.867362790199071E-26	SLC9A8, GDA, KIAA0556, PNKD, TRMT2A, RUSC1, ADCY6, UTRN, PDLIM3, PGAM2, VPS53, INTS3, AQP1, SIN3B, INCENP, WDR77, DHX34, BCL7A, DHX30, RAPGEF1, CHRNA3, C17ORF96, ANAPC2, MYH1, MECP2, ABCC10, BSN, CCDC136, MYH4, MYLK2, ESPL1, PIM2, PITPNM1, PNKP, GRB10, HNF4A, PARP12, TUBA4A, SUPT6H, DEAF1, PUS1, TNRC18, ERBB3, AKAP12, CEP164, BOP1, PRRC2B, CDC37, ADAP1, URGCP, JRK, MOV10, FCHO1, HIP1, RHBDF2, GIT1, MSTO1, ABR, PTPN18, PCIF1, MAP2K3, RHBDF1, ATP11A, MCAM, RAD54L, TNNI2, NOP14, KCNJ5, YY1AP1, ATP13A1, NUP62, ATP2A1, GRK6, PPRC1, BET1L, CDC42BPB, ELF4, TCOF1, FERMT1, SOBP, GLI3, CAMKK1, CDT1, DNAJC11, USP11, SIK1, FANCA, AGAP3, GOLGA3, TUBB3, CEACAM1, SIK3, ARHGEF2, ARHGEF1, ZNF282, LTBR, POGZ, ICAM3, FLOT1, ZNF142, HN1, FLNC, MYADM, LDLRAP1, MORC2, CARD11, RAB11FIP3, CKM, MAP3K10, RIN1, GRIP2, CDK11B, FARSA, MAP3K14, SRCAP, NHP2, WDR46, ADAM15, MON1A, ZNF275, SHROOM2, HK1, CLDN11, C1ORF226, POLR2A, C12ORF45, NUP214, MDC1, ANKS6, WDR13, BCL3, DHX16, USP36, MLLT6, FAM71F2, ETV4, PLEC, PPP1R18, RRP12, BAIAP2L2, DLGAP4, ATP1A3, ITPR3, SLC16A3, PHF19, PYGM, CSNK1E, TOM1L2, RBM19, PLXNA2, RBM15B, STK35, CNOT3, CBX2, TXLNA, TTN, RGL1, KRT80, PVALB, PDE4A, CTDSP2, TUBG2, MCM3AP, DFFA, PTPRN2, PNPLA2, PSD2, BICD1, TNNT3, LAT2, SNRPA, PTGFRN, TNFAIP3, EP400, CGNL1, PACS2, ARFGAP3, SSH1, STK11, MYL3, STK10, ITGB4, C14ORF169, SLC38A10, ORAOV1, MAPKAPK2, LLGL2, DOCK1, FBXW8, PELP1, TTYH2, PTK6, FBXO41, UBAP2L, NDRG2, KRI1, AXIN1, TBL3, CCM2, TBC1D2B, TAF6, PIF1, ARID3B, NR4A1, MYLPF, KCTD2, DOCK6, PLEKHA4, LAT, IKBKE, B3GAT1, P2RX6, PRKAR1B, PRICKLE3, TSC2, SLC25A19, PABPC1L, PHF8, E2F1, IER3, FOXK1, CXORF38, ANO1, PPIP5K1, PIP5K1C, EDC4, NUP188, CAD, C17ORF53, SPRY4, SH2D4A, NFATC2IP, ARHGAP4, POMT2, PCGF2, DES, HOMEZ, SHC1, DLG5, SLC43A1, FAM83F, FTSJ3, SLC43A3, SOX13, CCDC88C, STXBP1, SLC9A3R1, MCM5, GAK, TUT1, CD3EAP, UBE2O, EML3, FAM134C, DDR1, KIF1A, DHRS4, ATG4B, HIPK2, NGFR, CPSF4, ABLIM3, TPM2, VARS, SEC16A, TGM2, MLXIP, GEMIN8, INPP5D, SCN5A, NSUN5, NFATC1, DUS3L, EHD4, NF2, NCDN, SIRT7, CCDC69, KRT74, TMEM163, DENND4B, ARAP3, NFIC, TBL1X	438	8246	20581	1.6183310685020107	1.3149033486676842E-23	1.3149033486676842E-23	5.266512293527958E-23
UP_KEYWORDS	Alternative splicing	290	65.1685393258427	2.4317910613569683E-10	SLC9A8, CYP24A1, GDA, LTBP3, PNKD, TRMT2A, LTBP4, RUSC1, ADCY6, PDLIM3, VPS53, FSTL4, INTS3, AQP1, CLPTM1L, SIN3B, INCENP, WDR77, BCL7A, DHX30, RAPGEF1, CHRNA3, OPA3, ANAPC2, MECP2, ABCC10, CCDC136, ESPL1, PITPNM1, PNKP, GRB10, HNF4A, TUBA4A, RAB15, SUPT6H, DEAF1, PUS1, TNRC18, ERBB3, DNAH17, AKAP12, CEP164, BOP1, PRRC2B, EP400NL, ADAP1, URGCP, LIF, SERINC2, MOV10, FCHO1, HIP1, RHBDF2, GIT1, KIF3B, MSTO1, ABR, PTPN18, ESRRB, MAP2K3, RNF207, MCAM, GAS8, TINAGL1, ZNF585A, TNNI2, NOP14, SEMA6B, BTBD16, YY1AP1, ATP13A1, ATP2A1, GRK6, PPRC1, SLC27A1, PPARA, TCOF1, FERMT1, CAMKK1, DNAJC11, AEN, SEMA3B, FANCA, AGAP3, LAG3, GOLGA3, TUBB3, CEACAM1, SIK3, ZFYVE1, FBXL18, ARHGEF2, ARHGEF1, ZNF282, LTBR, POGZ, ZP3, FLOT1, RPH3AL, HN1, FOSB, FLNC, MORC2, MXD3, RAB11FIP3, CLIC5, TOP3A, RIN1, GRIP2, CDK11B, RBM38, ADAM19, FARSA, SRCAP, WDR45, ADAM15, MON1A, ZNF275, NKD2, FHL1, HK1, EHF, TRIM16, TRIM15, C1ORF226, POLR2A, NUP214, COL7A1, MDC1, ANKS6, C19ORF66, WDR13, USP36, FAM71F2, ETV4, PLEC, PPP1R18, SOAT2, RRP12, BAIAP2L2, DLGAP4, ATP1A3, MARCH9, PHF19, PYGM, PTP4A3, RAB36, TOM1L2, DUSP6, PLXNA2, FGF14, PDGFA, RBM15B, CNOT3, CBX2, TTN, IL17RD, RGL1, NLRC5, KRT80, PDE4A, IFRD2, DFFA, PTPRN2, PISD, SLC22A20, PNPLA2, FIBCD1, BICD1, EARS2, TNNT3, LAT2, TMEM106A, DDX31, EP400, ZNF586, CGNL1, PACS2, ARFGAP3, MYL5, SSH1, TNFRSF12A, STK11, ITGB4, CDC42SE1, C14ORF169, SLC38A10, MAPKAPK2, ABCA3, LLGL2, TRIM66, FBXW8, TTYH2, PTK6, UBAP2L, NDRG2, AXIN1, GABRE, CCM2, TESC, TBC1D2B, TMEM222, TAF6, PIF1, ARID3B, NR4A1, CACNA2D4, PLEKHA4, PPIF, LAT, IKBKE, B3GAT1, DNASE1, P2RX6, SLC4A11, PRICKLE3, TSC2, SLC25A19, PABPC1L, PHF8, VARS2, FOXK1, CXORF38, ANO1, HR, PPIP5K1, PIP5K1C, EDC4, NUP188, C17ORF53, LGR6, SPRY4, SH2D4A, NFATC2IP, ARHGAP4, POMT2, PCBP4, HOMEZ, KLHL21, SHC1, DLG5, SLC43A1, FAM83F, SLC43A3, CCDC88C, STXBP1, SLC9A3R1, EML6, GAK, CD3EAP, CLEC16A, EML3, FAM134C, DDR1, KIF1A, KLHL18, DHRS4, ATG4B, SLC35E2, IPO4, TBCD, HIPK2, NGFR, CPSF4, ADAMTS14, ABLIM3, TPM2, CCDC57, VARS, CCNJL, GLS2, SEC16A, TGM2, HMGXB3, MLXIP, INPP5D, SCN5A, NSUN5, NFATC1, DUS3L, KLK6, NF2, NCDN, SIRT7, LMBR1L, NEB, TMEM163, ARAP3, NFIC, TBL1X	438	10587	20581	1.2871152826784635	8.26809053444677E-8	4.134045350490112E-8	3.3115743480749416E-7
UP_KEYWORDS	Methylation	53	11.910112359550562	2.46268814517023E-9	FOXK1, CXORF38, PIP5K1C, CBX2, C17ORF53, GLI3, CAMKK1, NFATC2IP, DES, GNG4, SIK3, C17ORF96, MCM3AP, MYH1, ACTA1, MYH3, MECP2, MYH4, BSN, FLNC, GAK, PITPNM1, MAP3K10, RAB15, RIN1, DDX31, SNRPA, MYL3, STK11, ABLIM3, POLR2A, MDC1, WDR13, HOXA9, UBAP2L, FBXO41, SCN5A, PLEC, TAF6, NCDN, DLGAP4, ARID3B, MYLPF, SIRT7, DOCK6, SEMA6B, PTP4A3, CSNK1E, PRKAR1B, POLD1, PABPC1L, NFIC, CDC42BPB	438	1001	20581	2.4879070700988506	8.373136264339109E-7	2.791046200822933E-7	3.3536489807417524E-6
UP_KEYWORDS	Muscle protein	13	2.9213483146067416	5.977296563628508E-9	MYL5, MYH1, ACTA1, MYL3, MYH3, MYLPF, MYH4, TPM2, TNNI2, TNNT3, DES, NEB, PVALB	438	62	20581	9.852445131830901	2.0322787668280995E-6	5.080700788973047E-7	8.139785756533513E-6
GOTERM_BP_DIRECT	GO:0030049~muscle filament sliding	11	2.4719101123595504	1.158892572542082E-8	TNNT3, DES, NEB, ACTA1, MYL3, MYH3, MYH4, ACTN3, TPM2, TTN, TNNI2	394	38	16792	12.337162703713599	2.168264505331141E-5	2.168264505331141E-5	1.976993926344761E-5
UP_KEYWORDS	ATP-binding	63	14.157303370786517	2.2233451882148544E-8	VARS2, ADCY6, STK35, PPIP5K1, PIP5K1C, CAD, TTN, CAMKK1, TTL, NLRC5, DHX37, DHX34, SIK1, DHX30, SIK3, MYH1, ACTA1, MYH3, MYH4, MYLK2, ABCC10, PIM2, MCM5, GAK, EARS2, TUT1, UBE2O, PNKP, DDR1, KIF1A, CKM, HIPK2, MAP3K10, DDX31, CDK11B, FARSA, MAP3K14, SRCAP, EP400, STK11, ERBB3, DNAH17, STK10, HK1, MAPKAPK2, VARS, ABCA3, MOV10, PTK6, DHX16, EHD4, KIF3B, PIF1, MAP2K3, ATP1A3, ATP11A, RAD54L, IKBKE, ATP13A1, CSNK1E, ATP2A1, GRK6, CDC42BPB	438	1391	20581	2.1281673773672236	7.559345143515195E-6	1.511873600201774E-6	3.027715201886494E-5
UP_KEYWORDS	Cytoplasm	152	34.157303370786515	6.428995747470305E-8	KIAA0556, PNKD, PITPNA, RUSC1, UTRN, STK35, CNOT3, PDLIM3, TTN, IL17RD, NLRC5, INCENP, PDE4A, WDR77, TUBG2, DHX30, MCM3AP, MYH1, BST2, DFFA, MYH3, BSN, MYLK2, MYH4, ESPL1, PITPNM1, GRB10, TUBA4A, TNFAIP3, DEAF1, ARFGAP3, SSH1, STK11, DNAH17, AKAP12, CDC42SE1, CEP164, MAPKAPK2, CDC37, ADAP1, URGCP, LLGL2, MOV10, FBXW8, DOCK1, PELP1, NMRAL1, PTK6, NDRG2, HIP1, AXIN1, GIT1, TESC, CCM2, KIF3B, S100P, PTPN18, NR4A1, RNF207, GAS8, DOCK6, PLEKHA4, IKBKE, YY1AP1, NUP62, TSC2, CDC42BPB, IER2, SLC27A1, ANO1, FERMT1, PPIP5K1, EDC4, PIP5K1C, CAD, GLI3, SPRY4, CAMKK1, SH2D4A, ARHGAP4, NFATC2IP, DES, PCBP4, USP11, KLHL21, SHC1, SIK1, FANCA, AGAP3, TUBB3, GOLGA3, SIK3, EGR1, ARHGEF2, ARHGEF1, POGZ, ACTA1, CCDC88C, RPH3AL, STXBP1, FLNC, SLC9A3R1, LDLRAP1, MORC2, EML6, PADI1, GAK, UBE2O, CARD11, EML3, KIF1A, RAB11FIP3, CKM, ATG4B, IPO4, CLIC5, TBCD, HIPK2, UBD, GRIP2, RIN1, CDK11B, RBM38, FARSA, MAP3K14, SHROOM2, NKD2, WASH1, ABLIM3, FHL1, TRIM16, TPM2, MARVELD1, ANKS6, C19ORF66, BCL3, GEMIN8, MLXIP, INPP5D, PLEC, NFATC1, GLRX, KLK6, PPP1R18, NF2, NCDN, SIRT7, NEB, CSNK1E, RBM19, ARAP3, DUSP6	438	4816	20581	1.4830284136591878	2.1858347344916318E-5	3.6430910709261966E-6	8.754899201157684E-5
UP_KEYWORDS	Coiled coil	107	24.044943820224717	8.390956356726483E-8	KIAA0556, PLXNA2, TRMT2A, UTRN, CNOT3, VPS53, TXLNA, TTN, KRT80, INCENP, IMP4, OPA3, MCM3AP, BST2, MYH1, DFFA, MYH3, MYH4, BSN, CCDC136, ACTN3, PSD2, BICD1, TNNT3, EP400, SUPT6H, CGNL1, ARFGAP3, TNRC18, STK10, DNAH17, SLC38A10, CEP164, PRRC2B, CDC37, URGCP, TRIM66, DOCK1, PELP1, FBXO41, KRI1, FCHO1, AXIN1, HIP1, GIT1, TBC1D2B, KIF3B, TBL3, ATP11A, RNF207, GAS8, CACNA2D4, TNNI2, PLEKHA4, NOP14, IKBKE, NUP62, BET1L, CDC42BPB, TCOF1, EDC4, SH2D4A, ARHGAP4, NFATC2IP, DES, DNAJC11, DLG5, FTSJ3, SIK3, TUBB3, GOLGA3, ARHGEF2, ARHGEF1, SOX13, POGZ, CCDC88C, FOSB, MORC2, MXD3, UBE2O, EML3, CARD11, KIF1A, FAM167A, RAB11FIP3, CDK11B, SRCAP, TRIM16, TRIM15, TPM2, VARS, CCDC57, NUP214, DHX16, MLXIP, GEMIN8, MLLT6, SCN5A, PLEC, SOAT2, RRP12, NF2, ITPR3, CCDC69, KRT74, RBM19, DENND4B	438	3036	20581	1.6560535371583616	2.8528845838371453E-5	4.075599236652572E-6	1.1426663022451322E-4
UP_SEQ_FEATURE	splice variant	223	50.112359550561806	8.414130236016403E-8	SLC9A8, LTBP3, PNKD, TRMT2A, LTBP4, RUSC1, ADCY6, PDLIM3, VPS53, FSTL4, INTS3, CLPTM1L, SIN3B, INCENP, BCL7A, DHX30, RAPGEF1, CHRNA3, OPA3, ANAPC2, MECP2, CCDC136, ABCC10, ESPL1, PITPNM1, GRB10, HNF4A, RAB15, SUPT6H, DEAF1, TNRC18, PUS1, ERBB3, DNAH17, AKAP12, CEP164, PRRC2B, EP400NL, URGCP, MOV10, FCHO1, GIT1, RHBDF2, ABR, MSTO1, MAP2K3, RNF207, TINAGL1, MCAM, ZNF585A, NOP14, SEMA6B, BTBD16, YY1AP1, ATP13A1, ATP2A1, PPRC1, GRK6, TCOF1, FERMT1, CAMKK1, AEN, DNAJC11, SEMA3B, FANCA, AGAP3, ZFYVE1, GOLGA3, CEACAM1, SIK3, FBXL18, ARHGEF2, ARHGEF1, POGZ, ZP3, RPH3AL, HN1, FLNC, MXD3, RAB11FIP3, CLIC5, TOP3A, GRIP2, RIN1, CDK11B, RBM38, ADAM19, SRCAP, MON1A, WDR45, NKD2, FHL1, HK1, EHF, TRIM16, TRIM15, NUP214, COL7A1, MDC1, C19ORF66, ANKS6, USP36, FAM71F2, PLEC, PPP1R18, RRP12, BAIAP2L2, DLGAP4, MARCH9, PHF19, PTP4A3, TOM1L2, RAB36, DUSP6, FGF14, PDGFA, PLXNA2, CNOT3, CBX2, TTN, IL17RD, RGL1, NLRC5, KRT80, PDE4A, DFFA, PTPRN2, SLC22A20, PNPLA2, PISD, FIBCD1, BICD1, TNNT3, LAT2, DDX31, EP400, CGNL1, PACS2, MYL5, SSH1, TNFRSF12A, ITGB4, C14ORF169, CDC42SE1, SLC38A10, MAPKAPK2, LLGL2, TRIM66, FBXW8, PELP1, UBAP2L, NDRG2, KRI1, AXIN1, TESC, CCM2, TBC1D2B, TMEM222, TAF6, PIF1, ARID3B, CACNA2D4, PLEKHA4, LAT, SLC4A11, TSC2, PHF8, VARS2, FOXK1, CXORF38, ANO1, HR, PPIP5K1, EDC4, NUP188, C17ORF53, LGR6, SPRY4, NFATC2IP, POMT2, PCBP4, KLHL21, SHC1, DLG5, SLC43A1, FAM83F, CCDC88C, STXBP1, EML6, CD3EAP, CLEC16A, EML3, DDR1, KIF1A, KLHL18, DHRS4, ATG4B, SLC35E2, IPO4, TBCD, HIPK2, CPSF4, ADAMTS14, ABLIM3, TPM2, CCDC57, CCNJL, SEC16A, TGM2, MLXIP, INPP5D, SCN5A, NSUN5, DUS3L, NFATC1, KLK6, NCDN, NF2, SIRT7, LMBR1L, TMEM163, TBL1X, NFIC	436	7760	20063	1.3223685921687316	1.6574463548246765E-4	1.6574463548246765E-4	1.4441048760138742E-4
UP_KEYWORDS	Nucleotide-binding	73	16.40449438202247	8.954418548000993E-8	GNAZ, SLC27A1, VARS2, ADCY6, STK35, PIP5K1C, PPIP5K1, CAD, TTN, CAMKK1, TTL, NLRC5, DHX37, DHX34, DHX30, SIK1, TUBG2, AGAP3, SIK3, TUBB3, MYH1, ACTA1, MYH3, MYH4, MYLK2, ABCC10, PIM2, MCM5, EARS2, GAK, TUT1, UBE2O, PNKP, DDR1, KIF1A, CKM, HIPK2, MAP3K10, TUBA4A, RAB15, DDX31, CDK11B, FARSA, MAP3K14, SRCAP, EP400, STK11, ERBB3, DNAH17, STK10, HK1, MAPKAPK2, VARS, ABCA3, MOV10, PTK6, DHX16, EHD4, KIF3B, PIF1, MAP2K3, ATP1A3, ATP11A, RAD54L, IKBKE, ATP13A1, PYGM, CSNK1E, RAB36, PRKAR1B, ATP2A1, GRK6, CDC42BPB	438	1788	20581	1.9184377330350484	3.0444560991771397E-5	3.8056208132575264E-6	1.2193975920116173E-4
