Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Acetylation	179	28.594249201277954	2.4389543125183988E-14	LDHA, CBX3, TTK, IARS2, MBIP, RAB1A, HIBADH, SMNDC1, HOOK1, MINOS1, DPY30, S1PR1, RBM8A, SLC25A24, TIA1, PTBP3, LUC7L3, SCAMP1, KRR1, ROCK1, KIF5B, DARS, STRN3, PPP1CC, PPP1CB, AHR, STK3, SLC25A30, MAP4K3, SPAG9, PCF11, HIF1A, TAGLN, TRMT11, PSMA6, USO1, SMARCA5, SLU7, SDCBP, CSNK1G3, FAM177A1, ADD3, GRB14, HMGB1, CAV1, DERL1, BBS7, OTUD6B, DIAPH2, SNX2, ANLN, UBE2V2, SNX4, TMCC1, ATF2, RPS25, TMEM50A, LEO1, PPIL3, HSPE1, GLO1, NDRG1, RPS20, TMEM30A, PLAG1, CSTF3, OSBPL9, FAM111B, SMAD5, NUF2, SMAD4, EPRS, BRIP1, PCNP, TSN, ARFIP1, USMG5, UACA, SLAIN2, UBA3, THNSL1, PDCD5, MYLK, RTN4, NAMPT, ZNF292, PYROXD1, U2SURP, DPY19L4, CLTC, BUD31, PTMA, PTEN, RTN3, AUH, ACTR3, TMEM56, RANBP9, MBTD1, RPS3A, GOPC, CASP8, KIAA1033, GPX8, CAT, GOLGA5, MYB, SUCLA2, TOP2A, ATP5J, SSBP2, ANP32B, SSBP1, MPP1, ANP32E, PKN2, EIF1B, FAM76B, ZNF143, PBK, RB1, NDUFA12, NRIP1, PJA2, ATP6V1A, CLIC4, TBCA, ADK, LARP7, PFDN4, THOC7, CNEP1R1, IFT81, TRUB1, SRP9, UGP2, VPS29, NDUFB3, HAUS3, ING3, ATG12, CRLF3, LIN9, FKBP3, KIAA0101, SLC19A2, CCDC58, ALDH1A1, PHIP, ZBTB8OS, NR1D2, REXO2, CAMK2D, RAB11A, PPP3CA, HSPA5, HSD17B4, RASA1, RAB2A, GMNN, TPMT, SIRT1, SMC3, PARK7, NAE1, SMC4, RPAP3, MNAT1, HSP90B1, ZRANB2, USP47, C4ORF3, PGK1, UBLCP1, SCP2, LURAP1L, CALM2, MGST1, BCAR3	623	3424	20581	1.7270213280628857	9.403589018575076E-12	9.403589018575076E-12	3.388400671155978E-11
UP_KEYWORDS	Phosphoprotein	330	52.715654952076676	3.623258361086161E-11	CTTNBP2NL, SYT1, LDHA, CADM4, RORA, PRKG2, CLK1, SYT7, NSRP1, CD2AP, RAB1A, ZNRF2, HOOK1, CUL5, FLI1, DIRAS2, S1PR1, CD44, PLOD2, RBM8A, CLK4, CDCA2, PTBP3, LUC7L3, OXR1, ADAM9, PTPRK, KRR1, STC2, KIF5B, ROCK1, ZNF644, STRN3, ZHX1, SPAG1, KRT10, CCDC138, DCTN6, PTPRO, PCF11, SPAG9, TAGLN, FAM177A1, ADD3, GRB14, KIAA1107, TMX1, STK17B, MME, ZCRB1, CCDC91, DAAM1, TMCC1, VRK1, TMEM50A, VRK2, LEO1, RPS20, TRAM1, MGAT4A, MOCS2, KLF12, OSBPL9, SMAD5, NUF2, SMAD4, EPRS, ZNF521, PCNP, ATP11C, ARFIP1, OCIAD1, DENND1B, PLA2G4A, SEMA6D, NSMCE4A, MAP2, TMEM41B, RTN4, ZNF292, NRP1, TAF1D, AP1AR, U2SURP, PDIA6, RASSF8, RTN1, WBP4, PTEN, RTN3, HSP90AB2P, KIAA1033, ARHGAP11A, MYB, GOLGA5, TOP2A, ATP5J, ZDHHC2, TBX15, ADAM10, ANP32B, CCNH, ANP32E, FAM76B, DNAJC21, EIF1B, ZNF143, OSTM1, MYCN, SENP2, PJA2, RAB11FIP2, CLIC4, BNIP2, ZNF136, ADK, PLXDC2, PFDN4, THOC7, TRUB1, GADD45A, REV3L, TF, ZBTB10, ZBTB6, LIN9, GPM6B, EEA1, KIT, ZNF654, SLC19A2, STAU2, PHIP, SFT2D1, NR1D2, REXO2, HSD17B4, PPP3CA, BRMS1L, RASA1, C1GALT1, AGL, NSA2, POLR3G, PDK1, CES1, CEP135, GMNN, DLGAP5, PAK1IP1, RICTOR, ITPR2, FZD6, RLF, MNAT1, PSMD14, BNIP3L, USP47, PRSS23, CWC22, PGK1, PHLDB2, USP45, CALM2, BCAR3, SRP14, ALDH1L1, CHMP4C, ATP6AP2, ZNF451, CNOT2, TTK, CBX3, MBIP, SMNDC1, NRCAM, DPY30, TMEM9B, CGGBP1, SLC2A3, PGRMC1, ANKRD50, ROBO2, ASPM, RBMS1, SCAMP1, SPTLC1, DARS, USP1, PDE4D, BASP1, TMEM209, PPP1CC, PPP1CB, STK3, MAP4K3, TMEM106B, HIF1A, PSMA6, CST4, USO1, SMARCA5, SLU7, SDCBP, DNTTIP2, CSNK1G3, VPS26A, CAV2, HMGB1, CAV1, STX8, DERL1, AGFG1, SNX2, SNX4, KCNA6, ANLN, SP110, LMAN1, SYCP2, ATF2, LAPTM5, BCHE, HSPE1, NDRG1, GLO1, ARL6IP6, NOVA1, CSF1R, FGD4, CSTF3, ATAD2, BRIP1, INTS12, TSN, ATAD1, AIM1, NEDD1, NREP, CRBN, DSG2, PRICKLE1, ITGA6, PLK2, SLAIN2, ANTXR2, FAM84A, PDCD5, DNAJB4, MYLK, NAMPT, USPL1, IMPA1, TMEM237, ARHGAP18, CXADR, SKAP2, CLTC, PTMA, DDR2, CDC42, RANBP9, ARHGAP5, GPC3, RPS3A, CXCR4, TMEM59, ZFYVE16, CCDC43, CASP8, ZCCHC9, CAT, SUCLA2, SSBP2, SSBP1, MPP1, PIGW, G3BP2, PKN2, CCNL1, STXBP3, RB1, PBK, MBNL1, LMBRD1, NRIP1, MAN2A1, C5ORF15, ATP6V1A, SASS6, LARP7, NUCB2, IFT81, UGP2, C11ORF74, SAV1, FKBP3, KIAA0101, SLC35A5, SEC62, ALDH1A1, PPP1R12A, CAMK2D, GPSM2, TMEM87A, VPS35, HSPA5, CD5, RAD51AP1, NDUFA6, SMC5, KIF18A, TSPAN13, FAM188A, CENPE, TPMT, SIRT1, SMC3, RSBN1, PARK7, SMC4, RPAP3, HSP90B1, RSRC1, SP4, ZRANB2, DSC2, MIS18BP1, SCP2, RCN2	623	8246	20581	1.3220535157081852	1.3949540300650654E-8	6.974770205836478E-9	5.0256243611102036E-8
UP_KEYWORDS	Endoplasmic reticulum	69	11.022364217252397	4.958510958972167E-9	RTN4, IER3IP1, VKORC1L1, PDIA6, CYP2W1, C14ORF1, RTN1, RAB1A, TMEM64, RTN3, SEZ6L2, P4HA2, INSIG2, PLOD2, P4HA1, PGRMC1, SRD5A3, PSENEN, SCD5, KDELR3, SPTLC1, JKAMP, PIGX, PIGW, PGAP1, PIGU, LPCAT2, PIGN, PJA2, EBPL, CYP4X1, MAGT1, NUCB2, SDCBP, TMX1, DERL1, FKBP7, CYP51A1, LMAN1, SEC62, STAU2, TMCC1, TMED7, KDELC1, VRK2, TMED2, ZMPSTE24, HSPA5, TRAM1, MEST, RAB2A, CES1, SPTSSA, CYP4V2, ATP11C, ITPR2, TXNDC12, ERP44, HSP90B1, TXNDC16, BNIP3L, SULF1, SPCS3, POMP, ANTXR2, YIPF5, SCARA3, MGST1, RCN2	623	1067	20581	2.136304214724231	1.909024892610134E-6	6.363420358423966E-7	6.877682290351572E-6
GOTERM_CC_DIRECT	GO:0005789~endoplasmic reticulum membrane	62	9.904153354632587	1.2858543789950144E-8	RTN4, IER3IP1, VKORC1L1, PDIA6, CYP2W1, C14ORF1, RTN1, RAB1A, RTN3, SEZ6L2, CDC42, INSIG2, PLOD2, PGRMC1, SRD5A3, PSENEN, SCD5, KDELR3, SPTLC1, JKAMP, PIGX, PIGW, PGAP1, PIGU, LPCAT2, PIGN, PJA2, EBPL, CYP4X1, SDCBP, PROS1, TMX1, ARV1, CAV1, GALNT1, DERL1, FKBP7, CYP51A1, FKBP3, LMAN1, SEC62, TMCC1, TMED7, VRK2, TMED2, FOLR1, ZMPSTE24, HSPA5, TRAM1, MEST, RAB2A, CYP4V2, ATP11C, ITPR2, ERP44, HSP90B1, PLA2G4A, SPCS3, ANTXR2, YIPF5, SCARA3, MGST1	599	862	18224	2.1882720233645405	6.8150050277493435E-6	6.8150050277493435E-6	1.866849628218148E-5
GOTERM_CC_DIRECT	GO:0070062~extracellular exosome	145	23.162939297124602	1.3156436484208688E-8	SRP14, TSPO, LDHA, CADM4, ALDH1L1, CHMP4C, ATP6AP2, TSPAN6, SYT7, CXCL12, CD2AP, RAB1A, CD44, SLC2A3, PLOD2, PGRMC1, COL12A1, ROBO2, ADAM9, DARS, KRT10, BASP1, PTPRO, PPP1CB, C1QB, SPAG9, TMEM106B, PSMA6, SERPINF2, CST4, SDCBP, ARL8A, VPS26A, SNRPE, TWSG1, GNAI3, GNAI1, ENPP4, SNX2, MME, PPT1, UBE2V2, LMAN1, TIMP3, RPS25, ALCAM, SYPL1, FOLR1, ZMPSTE24, HSPE1, NDRG1, GLO1, FGL2, RPS20, MEST, MGAT4A, LAMTOR3, MOCS2, CFB, EFEMP1, NCKAP1L, ATAD2, LAMP2, LAMA4, USMG5, UACA, DSG2, FREM2, TXNDC16, RAP1A, PDCD5, DNAJB4, MYLK, RTN4, NAMPT, IMPA1, HEXB, RHOQ, PDIA6, CLTC, PTMA, DDR2, RTN3, HSP90AB2P, ACTR3, PTER, CDC42, GPC3, TMEM59, CXCR4, RPS3A, CREG1, SEMA3C, CAT, SUCLA2, TM9SF2, ADAM10, ANP32B, SSBP1, STXBP3, SLIT2, PFDN2, MAN2A1, ATP6V1A, CLIC4, TBCA, NUCB2, PLXDC2, PCYOX1, CTSH, PROS1, SRP9, UGP2, VPS29, GALNT3, NDUFB3, TF, GALNT7, EEA1, ITM2B, SEC14L2, ALDH1A1, PHIP, TMED7, ZBTB8OS, CALML3, RAB11A, VPS35, HSPA5, MAGEF1, RAB2A, TPMT, PARK7, ERP44, SH3BGRL, HSP90B1, PSMD14, SH3BGRL2, DSC2, PRSS23, PGK1, HPGD, SCP2, GCA, CALM2	599	2811	18224	1.569365282704662	6.972887077960621E-6	3.4864496166742143E-6	1.9100987591613716E-5
GOTERM_MF_DIRECT	GO:0005515~protein binding	358	57.18849840255591	1.0646466276095379E-7	CTTNBP2NL, SYT1, LDHA, DZIP3, INTS2, POSTN, SYT7, RORA, CLK1, NSRP1, CD2AP, RAB1A, HOOK1, G2E3, CUL5, FLI1, CD44, INSIG2, RBM8A, BTBD1, CLK4, PSENEN, LUC7L3, ADAM9, PTPRK, KRR1, NUDT12, KIF5B, ROCK1, STRN3, EMX2, ZHX1, PTPRO, SPAG9, C1QB, TAGLN, SERPINF2, VEGFA, ARL8A, FBXL3, GNAI3, GNAI1, MME, IFI30, PPT1, DAAM1, UHMK1, RPS25, ALCAM, VRK1, VRK2, TMEM123, LEO1, RPS20, TRAM1, LAPTM4B, LAMTOR3, KLF12, PAIP2, FAM111B, SMAD5, SMAD4, NUF2, NCKAP1L, EPRS, SPTSSA, PCNP, ATP11C, OCIAD1, LAMA4, SRPX2, NSMCE4A, UBA3, MAP2, POMP, HSPA14, RTN4, NRP1, TAF1D, TSNAX, U2SURP, PDIA6, RTN1, WBP4, PTEN, RTN3, ACTR3, P4HA1, MYB, TOP2A, MRPL1, TBX15, ADAM10, ANP32B, CCNH, GTF2H3, FAM76B, DNAJC21, ZNF143, CD164, BBS10, SLIT2, MYCN, SENP2, PFDN2, ZDHHC17, RAB11FIP2, CLIC4, BNIP2, ZNF136, PLXDC2, PFDN4, CNEP1R1, THOC7, TMSB4Y, ARL4C, GADD45A, ZSCAN12, SRP9, REV3L, TF, ATG12, ZBTB10, ZBTB6, LIN9, COL3A1, SHFM1, EEA1, KIT, FAM46A, ITM2B, SLC19A2, STAU2, NXT2, PHIP, GNPTAB, NR1D2, RAB11A, CD24, PPP3CA, THBS2, TPRKB, BRMS1L, RASA1, C1GALT1, AGL, MAGEF1, RAB2A, PDK1, CEP135, DLGAP5, GMNN, PAK1IP1, RICTOR, SNAI2, FZD6, NAE1, RLF, MNAT1, ERP44, PSMD14, DKK1, BNIP3L, USP47, TCEB1, UBLCP1, CWC22, PGK1, PHLDB2, CALM2, BCAR3, SRP14, TSPO, MPZL2, CHMP4C, ATP6AP2, ZNF451, TSPAN6, CNOT2, TTK, CBX3, MBIP, SMNDC1, MINOS1, NRCAM, DPY30, CGGBP1, ANKRD50, TIA1, PGRMC1, ROBO2, RNF32, RBMS1, SCAMP1, SPTLC1, DARS, USP1, ENC1, CST2, FOXN2, CST1, PDE4D, BASP1, PPP1CC, PPP1CB, STK3, AHR, TNKS2, MAP4K3, TMEM106B, HIF1A, PSMA6, LRP12, USO1, SMARCA5, SLU7, SDCBP, VPS26A, SNRPE, SNRPG, EID1, CAV2, TWSG1, HMGB1, CAV1, EID2, STX8, DERL1, BBS7, AGFG1, SNX2, UBE2V2, SNX4, CCNG1, LMAN1, TIMP3, ATF2, LAPTM5, CNOT6L, TMEM30B, PPIL3, HSPE1, NDRG1, TMEM30A, CSTF3, MAFB, EFEMP1, BRIP1, INTS12, TSN, TXNDC12, LAMP2, NREP, UACA, CRBN, PRICKLE1, ITGA6, PLK2, TXNDC16, SLAIN2, PNRC1, RAP1A, ANTXR2, YIPF5, SCARA3, FBXO33, PDCD5, DNAJB4, MYLK, NAMPT, USPL1, IMPA1, PYROXD1, HPS3, CXADR, SKAP2, CLTC, PTMA, DDR2, BUD31, CDC42, RANBP9, ARHGAP5, GPC3, RPS3A, CXCR4, TMEM59, ZFYVE16, CCDC43, CASP8, GOPC, YOD1, SUCLA2, SSBP1, MPP1, G3BP2, PKN2, CCNL1, CCDC47, STXBP3, MBNL1, RB1, PBK, TIMM23, NRIP1, ACVR2A, SASS6, SIKE1, TBCA, TMEM182, LARP7, NUCB2, UBE2W, WNT11, CTSH, UGP2, VPS29, HAUS3, FKBP7, ING2, CRLF3, SAV1, FKBP3, KIAA0101, EGLN3, KITLG, CCDC59, TMED2, CALML3, RNF128, PPP1R12A, CAMK2D, GPSM2, VPS35, HSPA5, CD5, MAF, RAD51AP1, SMC5, KIF18A, FAM188A, CENPE, SIRT1, SMC3, PARK7, SMC4, CCDC112, RPAP3, HSP90B1, RSRC1, SP4, ZRANB2, DSC2, MIS18BP1, SCP2, MGST1, GCA, RCN2	570	8785	16881	1.206881346793278	8.027113808828368E-5	8.027113808828368E-5	1.6215178694212184E-4
UP_SEQ_FEATURE	topological domain:Lumenal	36	5.7507987220447285	6.275657766573115E-7	RTN4, GALNT3, GALNT1, DERL1, GALNT7, LMAN1, ITM2B, SEC62, HS2ST1, SFT2D1, TMED7, TMED2, B3GNT5, MANEA, PSENEN, GOLGA5, TRAM1, C1GALT1, KDELR3, SCAMP1, TM9SF2, MGAT4A, JKAMP, PIGX, PIGW, PGAP1, SPTSSA, LPCAT2, GLCE, PIGN, MAN2A1, LAMP2, ZDHHC17, ATP2C1, SPCS3, YIPF5	622	450	20063	2.580450160771704	0.0010506207169665993	0.0010506207169665993	0.001056632575224814
UP_KEYWORDS	Endosome	35	5.5910543130990416	4.47806805409429E-6	VPS29, HMGB1, CHMP4C, AP1AR, GNPNAT1, DIAPH2, SNX2, SNX4, EEA1, ITM2B, RAB1A, ZNRF2, S1PR1, TMEM9B, CXCR4, FOLR1, TMEM59, ZFYVE16, ANKRD50, KIAA1033, RAB11A, VPS35, SCAMP1, TM9SF2, LAMTOR3, OSBPL9, OCIAD1, CD164, TMEM106B, LAMP2, RAB11FIP2, RAP1A, ARL8A, VPS26A, GRB14	623	481	20581	2.403816954378752	0.0017225747232583188	4.3092214164186515E-4	0.006211107168874186
UP_KEYWORDS	Alternative splicing	374	59.7444089456869	8.690949660553615E-6	LDHA, DZIP3, VKORC1L1, POSTN, SYT7, RORA, PRKG2, CLK1, RAB1A, HS2ST1, HOOK1, FLI1, CD44, PLOD2, RBM8A, BTBD1, CDCA2, COL12A1, PTBP3, SCD5, MRPL33, LUC7L3, OXR1, ADAM9, POLK, PTPRK, KRR1, ZNF644, STRN3, EMX2, ZHX1, SPAG1, CCDC138, LPCAT2, PTPRO, SPAG9, EBPL, EGFLAM, TRMT11, ATP2C1, SERPINF2, VEGFA, NPTN, VGLL3, FAM177A1, ADD3, GRB14, KIAA1107, GNAI1, CYP51A1, CCDC91, PPT1, DAAM1, UHMK1, TMCC1, ALCAM, SYPL1, VRK2, TMEM123, CKLF, LEO1, RPS20, TRAM1, PLAG1, LAPTM4B, MGAT4A, LAMTOR3, KLF12, OSBPL9, TM2D2, CFB, FAM111B, NCKAP1L, PCNP, ATP11C, ARFIP1, OCIAD1, DENND1B, LAMA4, SEMA6D, CSRNP3, NSMCE4A, UBA3, PARP8, MAP2, POF1B, DHX40, TMEM41B, RTN4, ZNF292, NRP1, AP1AR, U2SURP, PDIA6, RASSF8, RTN1, WBP4, PTEN, LZIC, AUH, RTN3, PTER, C12ORF29, MBTD1, P4HA2, P4HA1, ZNF680, KIAA1033, SEMA3C, SPIB, CLDND1, RBM48, ARHGAP11A, MYB, GOLGA5, TOP2A, ATP5J, KDELR3, ADAM10, TBX15, ANP32B, JKAMP, PGAP1, ANP32E, GTF2H3, FAM76B, DNAJC21, ZNF143, CD164, SLIT2, NDUFA12, SENP2, PJA2, ZDHHC17, RAB11FIP2, GRM8, BNIP2, ADK, PLXDC2, CNEP1R1, SUSD4, SGCE, ARL4C, GADD45A, SRP9, REV3L, ATG12, ZBTB10, LIN9, COL3A1, GPM6B, KIT, FAM46A, ITM2B, SLC19A2, SEC14L2, STAU2, NXT2, BEST3, GNPTAB, RAB11A, HSD17B4, PPP3CA, TPRKB, BRMS1L, RASA1, C1GALT1, AGL, RAB2A, PDK1, CES1, CEP135, DLGAP5, RICTOR, CYP4V2, ITPR2, FZD6, NAE1, MNAT1, BNIP3L, USP47, TCEB1, C4ORF3, PRSS23, PGK1, HPGD, PHLDB2, USP45, BCAR3, MRPS35, TSPO, ALDH1L1, ATP6AP2, ZNF451, CNOT2, TTK, MBIP, CXCL12, MINOS1, NRCAM, SEZ6L2, TMEM9B, SLC25A24, ANKRD50, TIA1, PGRMC1, ROBO2, OMA1, RNF32, ASPM, RBMS1, SCAMP1, SPTLC1, DARS, ENC1, FOXN2, PDE4D, BASP1, TMEM209, PPP1CC, STK3, MAP4K3, SLC25A30, CYP4X1, HIF1A, PSMA6, LRP12, USO1, IQCH, SDCBP, CSNK1G3, MFAP3, VPS26A, ASB4, EID1, CAV2, TWSG1, EID2, DERL1, BBS7, AGFG1, DIAPH2, OTUD6B, SNX2, SNX4, ANLN, SP110, CCNG1, CCNG2, ATF2, CNOT6L, PPIL3, NDRG1, GLO1, NOVA1, TMEM30A, CSF1R, MEST, FGD4, CSTF3, KIAA1586, EFEMP1, BRIP1, ATAD2, TSN, ATAD1, AIM1, LAMP2, NEDD1, NREP, UACA, CRBN, ITGA6, FREM2, PNRC1, ANTXR2, YIPF5, SCARA3, FAM84A, PDCD5, YAE1D1, MYLK, USPL1, IMPA1, PYROXD1, HPS3, TMEM237, ARHGAP18, CXADR, CLTC, PTMA, BUD31, TMEM64, CDC42, RANBP9, MCTP2, ARHGAP5, GPC3, CXCR4, SPINT2, ZFYVE16, CCDC43, KLHL28, CASP8, GOPC, YOD1, SUCLA2, SSBP2, IFT80, MPP1, PIGX, ZNF92, PIGU, NDUFC2, G3BP2, PKN2, CCNL1, TMEM70, CCDC47, MBNL2, MBNL1, PBK, LMBRD1, MCTP1, ACVR2A, TMEM68, ATP6V1A, MAGT1, SIKE1, TBCA, TMEM182, LARP7, NUCB2, UBE2W, IFT81, KIF19, PCYOX1, UGP2, C11ORF74, GALNT3, VPS29, HAUS3, ING3, NDUFB5, GALNT1, FKBP7, ING2, CRLF3, KIAA0101, KITLG, TMED7, ZBTB8OS, RNF128, PPP1R12A, CAMK2D, TMEM87A, MAF, RAD51AP1, C1ORF27, FAM188A, CENPE, SIRT1, RSBN1, SMC4, COL4A5, CCDC112, RPAP3, RSRC1, ZRANB2, DSC2, MIS18BP1, SCP2, MGST1, RCN2	623	10587	20581	1.1670168189855785	0.0033404384389572606	6.689821634731086E-4	0.01205407235150835
GOTERM_CC_DIRECT	GO:0005788~endoplasmic reticulum lumen	20	3.1948881789137378	1.926151686976334E-5	CES1, FKBP7, COL3A1, PDIA6, CYP2W1, COL5A2, COL4A5, TXNDC12, ERP44, HSP90B1, KDELC1, COL9A3, P4HA2, P4HA1, TXNDC16, BCHE, COL12A1, GPX8, HSPA5, RCN2	599	192	18224	3.1691708402893712	0.010156770327404918	0.00339711744805149	0.027960924828007716
